,distance_horizontal,distance_path,distance_vertical,distance_vertical_abs,distance_vertical_neg,distance_vertical_pos,duration,end_location_lat,end_location_lng,mode,start_location_lat,start_location_lng,isWalking,isBicycling,resid_combi_abs,resid_horiz
942,646.0,916.0,-3.07427978515625,3.07427978515625,3.07427978515625,0.0,256.0,48.5236965,9.0457283,driving,48.52028079999999,9.0528069,False,False,92.88423045163208,83.98384944885217
943,731.0,1318.0,14.6988525390625,14.6988525390625,0.0,14.6988525390625,326.0,48.52495829999999,9.0458515,driving,48.52028079999999,9.0528069,False,False,130.95745119183385,131.3501454289643
944,868.0,1953.0,42.034576416015575,42.034576416015575,0.0,42.034576416015575,383.0,48.52659999999999,9.0458993,driving,48.52028079999999,9.0528069,False,False,128.47869699592806,151.8699401263215
945,957.0,1788.0,50.28756713867188,50.28756713867188,0.0,50.28756713867188,379.0,48.52752520000001,9.0458038,driving,48.52028079999999,9.0528069,False,False,94.70410829541675,124.17112062314479
946,1083.0,3621.0,43.51483154296875,43.51483154296875,0.0,43.51483154296875,574.0,48.52886119999999,9.0458696,driving,48.52028079999999,9.0528069,False,False,264.7646524822187,285.6199828995463
947,1213.0,2876.0,33.37408447265625,33.37408447265625,0.0,33.37408447265625,509.0,48.5301429,9.045776,driving,48.52028079999999,9.0528069,False,False,176.97405721645862,186.00372969265896
948,1357.0,1871.0,34.09481811523437,34.09481811523437,0.0,34.09481811523437,353.0,48.5315041,9.045585699999998,driving,48.52028079999999,9.0528069,False,False,-15.41917168118033,-8.34042770573933
949,1460.0,2579.0,34.86126708984375,34.86126708984375,0.0,34.86126708984375,489.0,48.5325585,9.0458089,driving,48.52028079999999,9.0528069,False,False,94.31554072119366,100.23284859957306
950,1561.0,2380.0,41.471588134765575,41.471588134765575,0.0,41.471588134765575,453.0,48.5336846,9.046528599999998,driving,48.52028079999999,9.0528069,False,False,27.096202506712586,37.33868264652983
951,1755.0,5414.0,95.13250732421876,95.13250732421876,0.0,95.13250732421876,810.0,48.5353218,9.0455939,driving,48.52028079999999,9.0528069,False,False,285.9261723647945,342.680581707021
952,1896.0,5260.0,96.05532836914057,96.05532836914057,0.0,96.05532836914057,777.0,48.5366448,9.0456198,driving,48.52028079999999,9.0528069,False,False,217.08865903782885,272.13526092108935
953,2027.0,5116.0,99.46505737304688,99.46505737304688,0.0,99.46505737304688,749.0,48.5379057,9.0458057,driving,48.52028079999999,9.0528069,False,False,153.41240672386266,209.25272884337983
954,2166.0,4971.0,104.45523071289057,104.45523071289057,0.0,104.45523071289057,719.0,48.539198600000006,9.0458457,driving,48.52028079999999,9.0528069,False,False,84.27768021395173,142.2399657990926
955,2303.0,4936.0,105.55679321289057,105.55679321289057,0.0,105.55679321289057,745.0,48.5403528,9.0451091,driving,48.52028079999999,9.0528069,False,False,75.2657184617234,131.75976049644976
956,2442.0,4842.0,110.55722045898438,110.55722045898438,0.0,110.55722045898438,713.0,48.5417626,9.045952,driving,48.52028079999999,9.0528069,False,False,4.121428840861313,62.74699745216253
957,2587.0,4463.0,122.52316284179688,122.52316284179688,0.0,122.52316284179688,613.0,48.5430881,9.045898199999998,driving,48.52028079999999,9.0528069,False,False,-143.0074933010202,-75.86343881705795
958,2736.0,4829.0,138.60162353515622,138.60162353515622,0.0,138.60162353515622,657.0,48.5444468,9.045867800000002,driving,48.52028079999999,9.0528069,False,False,-150.96412895065555,-71.5389905695672
959,2737.0,4834.0,138.51638793945318,138.51638793945318,0.0,138.51638793945318,658.0,48.5444497,9.0458054,driving,48.52028079999999,9.0528069,False,False,-150.13269844054184,-70.80526944038945
960,2815.0,5746.0,17.7672119140625,17.7672119140625,0.0,17.7672119140625,703.0,48.495458000000006,9.045365499999999,driving,48.52028079999999,9.0528069,False,False,-11.867174619199773,-46.57502136452183
961,2690.0,5587.0,-3.18096923828125,3.18096923828125,3.18096923828125,0.0,661.0,48.49690589999999,9.0434519,driving,48.52028079999999,9.0528069,False,False,-9.255736159702337,-55.29016251174551
962,2621.0,4944.0,-3.03369140625,3.03369140625,3.03369140625,0.0,710.0,48.4974407,9.0440698,driving,48.52028079999999,9.0528069,False,False,56.99795634066527,12.083079574986982
963,2361.0,3992.0,-8.890350341796818,8.890350341796818,8.890350341796818,0.0,659.0,48.49960120000001,9.0455402,driving,48.52028079999999,9.0528069,False,False,65.03219551078053,30.315585988761654
964,2255.0,4133.0,-12.263458251953125,12.263458251953125,12.263458251953125,0.0,689.0,48.5007325,9.0446841,driving,48.52028079999999,9.0528069,False,False,118.18099253551429,88.54114629591595
965,2166.0,4267.0,-13.274932861328125,13.274932861328125,13.274932861328125,0.0,724.0,48.5017556,9.0437633,driving,48.52028079999999,9.0528069,False,False,174.31525356846817,147.2399657990926
966,2100.0,4367.0,-13.1630859375,13.1630859375,13.1630859375,0.0,757.0,48.5025365,9.0430951,driving,48.52028079999999,9.0528069,False,False,223.79171355610288,197.81437127335846
967,2097.0,4379.0,-13.147674560546818,13.147674560546818,13.147674560546818,0.0,761.0,48.502590600000005,9.042959100000001,driving,48.52028079999999,9.0528069,False,False,228.5502752331695,202.6132078858251
968,1694.0,2927.0,-13.12744140625,13.12744140625,13.12744140625,0.0,529.0,48.5065234,9.0429516,driving,48.52028079999999,9.0528069,False,False,96.53847371601086,77.92359282717587
969,1620.0,3004.0,-12.8636474609375,12.8636474609375,12.8636474609375,0.0,549.0,48.507071100000005,9.0435494,driving,48.52028079999999,9.0528069,False,False,135.14114700522146,117.62822926801942
970,1510.0,3117.0,-12.122589111328125,12.122589111328125,12.122589111328125,0.0,571.0,48.5079028,9.0443931,driving,48.52028079999999,9.0528069,False,False,185.1191944662549,168.91890505846254
971,1352.0,2815.0,-13.602996826171818,13.602996826171818,13.602996826171818,0.0,476.0,48.50987199999999,9.0433371,driving,48.52028079999999,9.0528069,False,False,127.93245057004162,115.99096664837174
972,1251.0,2886.0,-13.865234375,13.865234375,13.865234375,0.0,479.0,48.5107872,9.043728100000001,driving,48.52028079999999,9.0528069,False,False,155.74222751613718,145.88513260141497
973,1144.0,2185.0,-14.306060791015625,14.306060791015625,14.306060791015625,0.0,387.0,48.5115693,9.0445735,driving,48.52028079999999,9.0528069,False,False,89.87382404450238,82.37697177939145
974,1053.0,2138.0,-13.364715576171818,13.364715576171818,13.364715576171818,0.0,397.0,48.5123283,9.045078,driving,48.52028079999999,9.0528069,False,False,123.32547110345041,116.6083490242126
975,936.0,3202.0,-12.107818603515625,12.107818603515625,12.107818603515625,0.0,568.0,48.5153289,9.042563900000001,driving,48.52028079999999,9.0528069,False,False,324.5210456085965,318.7629769104112
976,828.0,3311.0,-14.337005615234432,14.337005615234432,14.337005615234432,0.0,594.0,48.5160506,9.043575099999998,driving,48.52028079999999,9.0528069,False,False,375.2328244365011,373.5210949592099
